"age" "tobacco" "score"
"25-34" "0-9g/day" 42
"25-34" "10-19" 34
"25-34" "20-29" 50
"25-34" "30+" 44
"35-44" "0-9g/day" 32
"35-44" "10-19" 46
"35-44" "20-29" 35
"35-44" "30+" 41
"45-54" "0-9g/day" 42
"45-54" "10-19" 49
"45-54" "20-29" 50
"45-54" "30+" 35
"55-64" "0-9g/day" 35
"55-64" "10-19" 41
"55-64" "20-29" 48
"55-64" "30+" 32
"65-74" "0-9g/day" 33
"65-74" "10-19" 31
"65-74" "20-29" 47
"65-74" "30+" 36
"75+" "0-9g/day" 33
"75+" "10-19" 46
"75+" "30+" 49
"75+" "20-29" 32
