id,degree_level,family_size,gender,age_cat,marital_status,residence_type,work_type,salary
1,diploma,4,female,>45,single,family,jobless,149000
2,university,5,male,35-44,married,own,full_time,330650
3,senior_high,4,female,18-24,single,family,student,79000
4,university,3,female,25-34,married,family,full_time,156750
5,university,3,female,25-34,married,family,full_time,349000
6,university,6,female,25-34,single,family,full_time,59000
7,university,5,female,25-34,single,family,entrepreneur,49000
8,university,8,female,25-34,single,kost,full_time,79200
9,university,3,male,25-34,married,family,full_time,499000
10,diploma,3,female,18-24,single,rent,full_time,424150
11,university,5,female,35-44,single,family,full_time,160300
12,university,2,male,25-34,single,family,part_time,119200
13,diploma,6,female,25-34,single,family,part_time,139000
14,senior_high,3,male,15-24,single,rent,entrepreneur,209000
15,university,2,female,15-24,single,own,part_time,381650
16,university,3,female,25-34,married,family,full_time,171750
17,university,3,female,25-34,single,family,part_time,
18,university,6,female,25-34,single,family,full_time,239200
19,university,4,female,35-44,married,family,full_time,179750
20,diploma,8,female,25-34,single,family,full_time,109000
21,university,3,male,25-34,married,family,full_time,209000
22,senior_high,5,female,35-44,single,family,part_time,119000
23,university,3,male,25-34,married,family,full_time,
24,university,6,female,25-34,single,family,full_time,269000
25,university,5,female,25-34,single,family,entrepreneur,229000
26,senior_high,4,male,15-24,single,rent,student,39400
27,senior_high,5,female,35-44,single,family,part_time,493500
28,senior_high,5,female,25-34,married,family,full_time,63200
29,university,7,male,25-34,single,family,entrepreneur,381650
30,university,4,female,25-34,single,family,full_time,138000
31,senior_high,6,female,25-34,single,family,full_time,199000
32,university,6,female,35-44,married,own,full_time,313500
33,senior_high,5,female,35-44,single,family,part_time,129000
34,senior_high,4,female,25-34,single,rent,full_time,169000
35,senior_high,4,male,15-24,single,family,student,114500
36,diploma,4,male,35-44,married,own,full_time,109000
37,university,5,female,25-34,single,rent,full_time,
38,diploma,4,female,18-24,single,rent,full_time,159000
39,diploma,3,female,18-24,single,family,full_time,156750
40,senior_high,4,female,18-24,single,family,full_time,469000
41,senior_high,5,female,35-44,single,family,part_time,129000
42,diploma,2,male,25-34,married,rent,full_time,169000
43,senior_high,4,female,>45,married,family,housewife,399000
44,senior_high,6,female,15-24,single,family,student,41700
45,university,7,male,25-34,single,family,full_time,599000
46,university,4,male,25-34,married,family,full_time,339000
47,university,3,male,25-34,single,family,full_time,290250
48,university,2,female,25-34,married,rent,full_time,479000
49,university,10,male,35-44,married,own,entrepreneur,
50,university,4,female,18-24,single,family,full_time,239000
51,senior_high,5,female,35-44,single,family,part_time,199000
52,senior_high,6,female,25-34,married,family,housewife,319000
53,diploma,1,female,18-24,single,kost,full_time,199000
54,senior_high,4,female,18-24,single,family,part_time,169000
55,university,5,female,25-34,single,kost,full_time,419000
56,university,2,male,>45,married,own,full_time,79000
57,university,3,female,15-24,single,family,student,199000
58,university,5,male,25-34,married,own,full_time,896000
59,university,3,female,35-44,single,family,full_time,442000
60,senior_high,1,female,15-24,single,kost,part_time,151200
61,university,7,male,25-34,single,family,entrepreneur,98100
62,university,5,female,25-34,single,family,part_time,257400
63,university,7,female,25-34,married,family,housewife,359000
64,university,1,female,18-24,single,family,part_time,149000
65,university,6,female,25-34,single,family,full_time,209000
66,university,5,female,25-34,single,family,entrepreneur,379000
67,senior_high,4,female,18-24,single,family,student,179000
68,university,4,female,25-34,single,family,full_time,298000
69,senior_high,5,female,18-24,single,family,full_time,89400
70,senior_high,10,female,18-24,single,family,part_time,499000
71,university,3,female,15-24,single,family,full_time,99000
72,diploma,2,female,25-34,married,own,full_time,109000
73,university,3,male,18-24,single,family,student,89000
74,university,6,female,25-34,single,family,entrepreneur,156750
75,university,3,female,25-34,married,own,full_time,59000
76,senior_high,1,female,18-24,single,kost,student,90000
77,diploma,1,female,18-24,single,kost,full_time,129000
78,senior_high,5,female,35-44,single,family,part_time,299000
79,school,4,male,0-17,single,family,student,99000
80,senior_high,1,female,18-24,single,kost,student,99000
81,school,3,male,15-24,married,own,entrepreneur,189000
82,university,5,female,25-34,married,family,full_time,211650
83,senior_high,3,female,18-24,married,family,housewife,131400
